%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=214675, 2023/10/9 16:50:38.76)
200 1801 8.759166e-02 0 0 2.755453e-05 1.707959e-03 2.001448e-03 9.851270e-05 
201 1810 8.510522e-02 0 0 2.542264e-05 1.593056e-03 1.893698e-03 9.238345e-05 
202 1819 8.474460e-02 0 0 2.393597e-05 1.496433e-03 1.783844e-03 8.674766e-05 
203 1828 8.395007e-02 0 0 2.639174e-05 1.574892e-03 1.867413e-03 9.232232e-05 
204 1837 7.191185e-02 0 0 2.150293e-05 1.280491e-03 1.525896e-03 7.520071e-05 
205 1846 6.809768e-02 0 0 1.995465e-05 1.160547e-03 1.366479e-03 6.789121e-05 
206 1855 5.611384e-02 0 0 1.616452e-05 9.393167e-04 1.102053e-03 5.500637e-05 
207 1864 5.538302e-02 0 0 1.631224e-05 9.695616e-04 1.108475e-03 5.638543e-05 
208 1873 4.907087e-02 0 0 1.369509e-05 8.214307e-04 9.437378e-04 4.784458e-05 
209 1882 4.318692e-02 0 0 1.133909e-05 6.805535e-04 7.834758e-04 3.965588e-05 
210 1891 4.099531e-02 0 0 1.024114e-05 6.374360e-04 7.415753e-04 3.713135e-05 
211 1900 4.045972e-02 0 0 9.928472e-06 6.255091e-04 7.169383e-04 3.663488e-05 
212 1909 4.013600e-02 0 0 9.394218e-06 5.910941e-04 6.761027e-04 3.458995e-05 
213 1918 4.385768e-02 0 0 1.135226e-05 6.717133e-04 7.852625e-04 3.954400e-05 
214 1927 4.276449e-02 0 0 1.065631e-05 6.277187e-04 7.454003e-04 3.728148e-05 
215 1936 3.650885e-02 0 0 8.971296e-06 5.142956e-04 6.117574e-04 3.061139e-05 
216 1945 3.832809e-02 0 0 9.817114e-06 5.275816e-04 6.171549e-04 3.102812e-05 
217 1954 3.090218e-02 0 0 7.490325e-06 4.026907e-04 4.711350e-04 2.369012e-05 
218 1963 3.193076e-02 0 0 7.855460e-06 4.216626e-04 4.760473e-04 2.433931e-05 
219 1972 2.769560e-02 0 0 6.512548e-06 3.482185e-04 3.920107e-04 2.006622e-05 
220 1981 2.723589e-02 0 0 6.163847e-06 3.288789e-04 3.750782e-04 1.896072e-05 
221 1990 2.785040e-02 0 0 5.984995e-06 3.203145e-04 3.665844e-04 1.846138e-05 
222 1999 2.290332e-02 0 0 4.678983e-06 2.516081e-04 2.888480e-04 1.445677e-05 
223 2008 2.218526e-02 0 0 4.313103e-06 2.391946e-04 2.705857e-04 1.376599e-05 
224 2017 1.868316e-02 0 0 3.537512e-06 1.980556e-04 2.220392e-04 1.139898e-05 
